Issue_Key,Summary,Role,Assignee,Priority,Created_Date,Last_Updated_Date,Status_Current,Status_Entered_Date,Resolved_Date,Estimate_Hrs,Actual_Hrs,Delay_Rate,Re_open_Count,Handoff_Count,SLA_Hours,SLA_Breached,Lead_Time_Hours,Root_Cause_Category,Blocked_Reason,Upstream_Team,Downstream_Team
LUANTA-2093,Cross-border payment gateway callback issue,Backend,Alex,P2-Medium,2025-01-01,2025-01-02 02:53:05.124049159,Done,2025-01-01 13:03:14.923451399,2025-01-02 13:18:00,9,18.9,110.1,2,3,120,N,37.3,API Dependency,,Internal Platform,Client Ops
LUANTA-2104,New Slot Game API end-point validation,Backend,Alex,P1-High,2025-01-01,2025-01-01 18:34:25.081527212,Done,2025-01-01 05:29:37.012442518,2025-01-01 19:12:00,7,11.7,67.4,1,1,72,N,19.2,API Dependency,,Internal Platform,Client Ops
LUANTA-2028,Database deadlock investigation during peak hours,Backend,Ben,P1-High,2025-01-02,2025-01-03 17:09:16.359837066,Done,2025-01-03 00:47:30.924693234,2025-01-03 21:06:00,15,21.9,46.2,0,0,72,N,45.1,Data / DB,,Compliance,Finance
LUANTA-2036,MG Wallet API Integration for Operator A,Backend,Cindy,P2-Medium,2025-01-02,2025-01-03 13:52:51.741935864,Blocked,2025-01-03 10:01:43.557568564,,15,31.0,107.0,2,3,120,N,,API Dependency,Waiting for vendor/PSP response,N/A,Finance
LUANTA-2182,WebSocket disconnection issue on iOS,Frontend,Fiona,P3-Low,2025-01-04,2025-01-04 22:52:22.214876851,To Do,2025-01-04 15:47:46.909292291,,13,17.7,36.0,0,1,240,N,,Spec / Requirement,,N/A,CS
LUANTA-2068,Market research on Asian payment trends,Product Manager,Sam,P2-Medium,2025-01-04,2025-01-04 11:08:04.762009536,Done,2025-01-04 06:51:58.227939000,2025-01-04 11:42:00,4,5.4,34.7,0,0,120,N,11.7,Payments / PSP,,Compliance,CS
LUANTA-2084,Cross-border payment gateway callback issue,Backend,Alex,P1-High,2025-01-07,2025-01-07 22:58:36.266446880,Review,2025-01-07 10:54:21.967794323,,11,16.4,48.7,2,2,72,N,,API Dependency,,PSP Vendor,CS
LUANTA-2007,Market research on Asian payment trends,Product Manager,Taylor,P3-Low,2025-01-14,2025-01-15 03:06:28.801166641,Done,2025-01-14 22:47:23.796341234,2025-01-15 05:00:00,13,14.6,12.2,0,0,240,N,29.0,Payments / PSP,,Internal Platform,Finance
LUANTA-2184,Cross-border payment gateway callback issue,Backend,Derek,P1-High,2025-01-17,2025-01-17 20:29:52.487616044,Review,2025-01-17 11:13:46.595759517,,12,24.0,99.7,1,3,72,N,,API Dependency,,MG HQ,Finance
LUANTA-2088,Casino lobby dark mode design,UI/UX,Sam,P1-High,2025-01-19,2025-01-19 09:41:47.494875264,Done,2025-01-19 02:51:04.787611569,2025-01-19 09:42:00,5,5.9,18.7,0,1,72,N,9.7,Spec / Requirement,,N/A,N/A
LUANTA-2167,WebSocket disconnection issue on iOS,Frontend,Grace,P3-Low,2025-01-19,2025-01-19 07:06:12.405363944,Done,2025-01-19 03:14:15.005393316,2025-01-19 08:12:00,4,5.2,31.0,0,0,240,N,8.2,Spec / Requirement,,N/A,Client Ops
LUANTA-2103,Cross-border payment gateway callback issue,Backend,Cindy,P3-Low,2025-01-23,2025-01-24 13:09:14.976967881,Done,2025-01-23 09:10:39.708764895,2025-01-24 19:12:00,8,20.3,153.4,2,2,240,N,43.2,API Dependency,,N/A,CS
LUANTA-2080,Bonus system calculation logic fix,Backend,Derek,P1-High,2025-01-25,2025-01-26 03:13:42.042885484,Review,2025-01-25 09:17:43.287103105,,14,23.2,65.5,2,2,72,N,,Spec / Requirement,,PSP Vendor,CS
LUANTA-2132,Game Asset loading speed improvement,Frontend,Grace,P2-Medium,2025-01-26,2025-01-27 07:26:56.681496686,Done,2025-01-26 06:40:43.616824968,2025-01-27 08:48:00,15,16.2,8.2,0,0,120,N,32.8,Game Feature / Content,,PSP Vendor,N/A
LUANTA-2185,MG Wallet API Integration for Operator A,Backend,Cindy,P0-Critical,2025-01-27,2025-01-27 20:36:39.287891505,QA,2025-01-27 10:39:42.990492184,2025-01-28 09:42:00,9,20.5,127.9,0,1,24,Y,33.7,API Dependency,,N/A,CS
LUANTA-2085,Integration of new promotional banners,Frontend,Fiona,P1-High,2025-01-29,2025-01-29 12:32:02.263264425,Done,2025-01-29 08:04:26.777673808,2025-01-29 18:00:00,9,12.6,39.5,0,0,72,N,18.0,API Dependency,,Internal Platform,Finance
LUANTA-2166,Post-mortem report for API downtime event,Product Manager,Taylor,P3-Low,2025-02-01,2025-02-01 04:43:54.850801728,Review,2025-02-01 02:05:00.525274933,,4,4.1,1.5,0,1,240,N,,API Dependency,,Compliance,Finance
LUANTA-2130,New player registration flow optimization,UI/UX,Sam,P2-Medium,2025-02-05,2025-02-05 11:12:06.113765541,In Progress,2025-02-05 05:32:11.876952985,,7,9.7,38.8,0,0,120,N,,Spec / Requirement,,Internal Platform,Finance
