Created_Date (日期),Issue_Key (卡片編號),Summary (任務內容),Role,Priority,Estimate_Hrs,Actual_Hrs,Re_open_Count,Delay_Rate_%
2025-01-01,LUANTA-2093,Cross-border payment gateway callback issue,Backend,P2-Medium,9,18.9,2,110.1
2025-01-01,LUANTA-2104,New Slot Game API end-point validation,Backend,P1-High,7,11.7,1,67.4
2025-01-02,LUANTA-2028,Database deadlock investigation during peak hours,Backend,P1-High,15,21.9,0,46.2
2025-01-02,LUANTA-2036,MG Wallet API Integration for Operator A,Backend,P2-Medium,15,31.0,2,107.0
2025-01-04,LUANTA-2182,WebSocket disconnection issue on iOS,Frontend,P3-Low,13,17.7,0,36.0
2025-01-04,LUANTA-2068,Market research on Asian payment trends,Product Manager,P2-Medium,4,5.4,0,34.7
2025-01-07,LUANTA-2084,Cross-border payment gateway callback issue,Backend,P1-High,11,16.4,2,48.7
2025-01-14,LUANTA-2007,Market research on Asian payment trends,Product Manager,P3-Low,13,14.6,0,12.2
2025-01-17,LUANTA-2184,Cross-border payment gateway callback issue,Backend,P1-High,12,24.0,1,99.7
2025-01-19,LUANTA-2088,Casino lobby dark mode design,UI/UX,P1-High,5,5.9,0,18.7
2025-01-19,LUANTA-2167,WebSocket disconnection issue on iOS,Frontend,P3-Low,4,5.2,0,31.0
2025-01-23,LUANTA-2103,Cross-border payment gateway callback issue,Backend,P3-Low,8,20.3,2,153.4
2025-01-25,LUANTA-2080,Bonus system calculation logic fix,Backend,P1-High,14,23.2,2,65.5
2025-01-26,LUANTA-2132,Game Asset loading speed improvement,Frontend,P2-Medium,15,16.2,0,8.2
2025-01-27,LUANTA-2185,MG Wallet API Integration for Operator A,Backend,P0-Critical,9,20.5,0,127.9
2025-01-29,LUANTA-2085,Integration of new promotional banners,Frontend,P1-High,9,12.6,0,39.5
2025-02-01,LUANTA-2166,Post-mortem report for API downtime event,Product Manager,P3-Low,4,4.1,0,1.5
2025-02-05,LUANTA-2130,New player registration flow optimization,UI/UX,P2-Medium,7,9.7,0,38.8
2025-02-13,LUANTA-2091,Cross-border payment gateway callback issue,Backend,P3-Low,8,11.6,2,45.2
2025-02-13,LUANTA-2071,Post-mortem report for API downtime event,Product Manager,P3-Low,15,15.6,0,4.0
2025-02-13,LUANTA-2022,Compliance audit for European regulators,Product Manager,P3-Low,14,15.8,0,13.0
2025-02-15,LUANTA-2117,Database deadlock investigation during peak hours,Backend,P1-High,4,8.0,1,100.4
2025-02-16,LUANTA-2118,MG Wallet API Integration for Operator A,Backend,P0-Critical,9,13.5,2,49.8
2025-02-17,LUANTA-2016,Post-mortem report for API downtime event,Product Manager,P1-High,6,7.4,0,23.7
2025-02-19,LUANTA-2009,E-ticket module style customization,UI/UX,P3-Low,5,5.9,0,17.0
2025-02-20,LUANTA-2156,Cross-border payment gateway callback issue,Backend,P2-Medium,11,26.5,2,140.9
2025-02-22,LUANTA-2112,Database deadlock investigation during peak hours,Backend,P3-Low,14,29.3,0,109.6
2025-02-23,LUANTA-2056,Game Asset loading speed improvement,Frontend,P3-Low,15,17.0,0,13.1
2025-02-23,LUANTA-2106,E-ticket module style customization,UI/UX,P1-High,8,8.3,0,3.5
2025-02-24,LUANTA-2169,Requirement doc for wash-requirement logic,Product Manager,P1-High,13,14.4,0,10.8
2025-02-24,LUANTA-2189,User experience audit for sports betting module,UI/UX,P3-Low,11,11.9,0,8.6
2025-03-02,LUANTA-2115,New player registration flow optimization,UI/UX,P2-Medium,6,6.1,0,1.6
2025-03-07,LUANTA-2021,New player registration flow optimization,UI/UX,P1-High,12,12.5,0,4.2
2025-03-08,LUANTA-2125,MG Wallet API Integration for Operator A,Backend,P2-Medium,5,7.5,1,50.4
